course/course/_globals/_accessibility/_ariaLabels/menuLoaded/;Menu Loaded.
course/course/_globals/_accessibility/_ariaLabels/menu/;Menu
course/course/_globals/_accessibility/_ariaLabels/page/;Page
course/course/_globals/_accessibility/_ariaLabels/pageLoaded/;Page Loaded.
course/course/_globals/_accessibility/_ariaLabels/previous/;Back
course/course/_globals/_accessibility/_ariaLabels/navigationBack/;Navigate back
course/course/_globals/_accessibility/_ariaLabels/navigationDrawer/;Open course resources.
course/course/_globals/_accessibility/_ariaLabels/closeResources/;Close resources
course/course/_globals/_accessibility/_ariaLabels/drawerBack/;Back to drawer
course/course/_globals/_accessibility/_ariaLabels/drawer/;Top of side drawer
course/course/_globals/_accessibility/_ariaLabels/closePopup/;Close popup
course/course/_globals/_accessibility/_ariaLabels/next/;Next
course/course/_globals/_accessibility/_ariaLabels/done/;Done
course/course/_globals/_accessibility/_ariaLabels/complete/;Completed
course/course/_globals/_accessibility/_ariaLabels/incomplete/;Incomplete
course/course/_globals/_accessibility/_ariaLabels/correct/;Correct
course/course/_globals/_accessibility/_ariaLabels/locked/;Locked
course/course/_globals/_accessibility/_ariaLabels/accessibilityToggleButton/;By selecting this button you can set whether accessibility is turned on or off
course/course/_globals/_accessibility/_ariaLabels/feedbackPopUp/;Popup opened.
course/course/_globals/_accessibility/_ariaLabels/menuBack/;Back to menu
course/course/_resources/title/;Resources
course/course/_resources/description/;View resources for this course by clicking here.
course/course/_resources/_filterButtons/all/;All
course/course/_resources/_filterButtons/document/;Document
course/course/_resources/_filterButtons/media/;Media
course/course/_resources/_filterButtons/link/;Link
course/course/_resources/_filterAria/allAria/;View all resources
course/course/_resources/_filterAria/documentAria/;View document resources
course/course/_resources/_filterAria/mediaAria/;View media resources
course/course/_resources/_filterAria/linkAria/;View resource links
course/course/_resources/_resourcesItems/0/title/;Vanilla Theme Swatch
course/course/_resources/_resourcesItems/0/description/;See the swatch for the default vanilla by clicking here.
course/course/_resources/_resourcesItems/1/title/;Adapt Learning YouTube Channel
course/course/_resources/_resourcesItems/1/description/;Fancy catching up on some Adapt material? Click here.
course/course/_resources/_resourcesItems/2/title/;Community Site
course/course/_resources/_resourcesItems/2/description/;View our community site by clicking here.
course/course/_bookmarking/title/;Bookmarking
course/course/_bookmarking/body/;Would you like to continue where you left off?
course/course/_bookmarking/_buttons/yes/;Yes
course/course/_bookmarking/_buttons/no/;No
